Meter ID,Service Address,Occupant Name,Account Number,Meter Size,Install Date,Manufacturer,Model,Serial,Meter Type,Route,Notes
M-1075,"625 Sand Creek Rd, Wiley, CO 81092",Resident 1075,A-20075,"3/4""",2018-09-22,Master Meter,Model-425,SN100975,positive displacement,R4,
M-1076,"632 Prairie View, Wiley, CO 81092",New Occupant 1076,A-20076,"1.5""",2014-08-18,Badger,Model-687,SN100988,positive displacement,R5,
M-1077,"639 School House Rd, Wiley, CO 81092",Resident 1077,A-20077,"1.5""",2017-02-07,Sensus,Model-323,SN101001,positive displacement,R6,
M-1078,"646 Cemetery Rd, Wiley, CO 81092",Resident 1078,A-20078,"5/8""",2019-11-18,Neptune,Model-403,SN101014,positive displacement,R1,
M-1079,"653 Grain Elevator Rd, Wiley, CO 81092",Resident 1079,A-20079,"1""",2016-10-02,Master Meter,Model-843,SN101027,positive displacement,R2,
M-1080,"660 Main St, Wiley, CO 81092",Resident 1080,A-20080,"1""",2014-01-05,Badger,Model-505,SN101040,positive displacement,R3,
M-1081,"667 County Rd 10, Wiley, CO 81092",Resident 1081,A-20081,"5/8""",2016-02-14,Sensus,Model-382,SN101053,positive displacement,R4,
M-1082,"674 County Rd 14, Wiley, CO 81092",Resident 1082,A-20082,"5/8""",2016-04-15,Neptune,Model-309,SN101066,positive displacement,R5,
M-1083,"681 Highway 287, Wiley, CO 81092",Resident 1083,A-20083,"1""",2022-02-13,Master Meter,Model-581,SN101079,positive displacement,R6,
M-1084,"688 Maple Ave, Wiley, CO 81092",Resident 1084,A-20084,"5/8""",2020-03-15,Badger,Model-858,SN101092,positive displacement,R1,
M-1085,"695 Oak St, Wiley, CO 81092",Resident 1085,A-20085,"3/4""",2019-03-03,Sensus,Model-114,SN101105,positive displacement,R2,
M-1086,"702 Elm St, Wiley, CO 81092",Resident 1086,A-20086,"5/8""",2014-08-27,Neptune,Model-703,SN101118,positive displacement,R3,
M-1087,"709 3rd Ave, Wiley, CO 81092",Resident 1087,A-20087,"3/4""",2020-02-21,Master Meter,Model-298,SN101131,positive displacement,R4,
M-1088,"716 5th St, Wiley, CO 81092",Resident 1088,A-20088,"1.5""",2016-03-19,Badger,Model-659,SN101144,positive displacement,R5,
M-1089,"723 Ranch Rd, Wiley, CO 81092",Resident 1089,A-20089,"1.5""",2017-12-22,Sensus,Model-721,SN101157,positive displacement,R6,Livestock
M-1090,"730 Irrigation Ln, Wiley, CO 81092",Resident 1090,A-20090,"3/4""",2019-07-28,Neptune,Model-337,SN101170,positive displacement,R1,
M-1091,"737 North Frontage, Wiley, CO 81092",Resident 1091,A-20091,"3/4""",2020-02-28,Master Meter,Model-627,SN101183,positive displacement,R2,
M-1092,"744 South Loop, Wiley, CO 81092",Resident 1092,A-20092,"1""",2014-07-01,Badger,Model-446,SN101196,positive displacement,R3,
M-1093,"751 Pioneer Rd, Wiley, CO 81092",Resident 1093,A-20093,"1.5""",2015-12-01,Sensus,Model-604,SN101209,positive displacement,R4,
M-1094,"758 Cottonwood Dr, Wiley, CO 81092",Resident 1094,A-20094,"1.5""",2023-07-22,Neptune,Model-221,SN101222,positive displacement,R5,
M-1095,"765 Sand Creek Rd, Wiley, CO 81092",Resident 1095,A-20095,"1.5""",2019-12-02,Master Meter,Model-512,SN101235,positive displacement,R6,
M-1096,"772 Prairie View, Wiley, CO 81092",Resident 1096,A-20096,"3/4""",2019-07-17,Badger,Model-898,SN101248,positive displacement,R1,
M-1097,"779 School House Rd, Wiley, CO 81092",Resident 1097,A-20097,"5/8""",2014-06-25,Sensus,Model-102,SN101261,positive displacement,R2,
M-1098,"786 Cemetery Rd, Wiley, CO 81092",Resident 1098,A-20098,"3/4""",2018-02-22,Neptune,Model-275,SN101274,positive displacement,R3,
M-1099,"793 Grain Elevator Rd, Wiley, CO 81092",Resident 1099,A-20099,"3/4""",2014-11-12,Master Meter,Model-435,SN101287,positive displacement,R4,
M-1100,"800 Main St, Wiley, CO 81092",Resident 1100,A-20100,"3/4""",2022-02-13,Badger,Model-795,SN101300,positive displacement,R5,
M-1101,"807 County Rd 10, Wiley, CO 81092",Resident 1101,A-20101,"1""",2022-01-25,Sensus,Model-443,SN101313,positive displacement,R6,
M-1102,"814 County Rd 14, Wiley, CO 81092",Resident 1102,A-20102,"1.5""",2020-02-22,Neptune,Model-371,SN101326,positive displacement,R1,
M-1103,"821 Highway 287, Wiley, CO 81092",Resident 1103,A-20103,"3/4""",2018-12-03,Master Meter,Model-635,SN101339,positive displacement,R2,
M-1104,"828 Maple Ave, Wiley, CO 81092",Resident 1104,A-20104,"3/4""",2022-02-19,Badger,Model-242,SN101352,positive displacement,R3,
M-1105,"835 Oak St, Wiley, CO 81092",Resident 1105,A-20105,"1.5""",2017-08-25,Sensus,Model-708,SN101365,positive displacement,R4,
M-1106,"842 Elm St, Wiley, CO 81092",Resident 1106,A-20106,"1""",2012-04-14,Neptune,Model-738,SN101378,positive displacement,R5,
M-1107,"849 3rd Ave, Wiley, CO 81092",Resident 1107,A-20107,"1""",2021-09-28,Master Meter,Model-116,SN101391,positive displacement,R6,
M-1108,"856 5th St, Wiley, CO 81092",Resident 1108,A-20108,"3/4""",2014-01-28,Badger,Model-438,SN101404,positive displacement,R1,
M-1109,"863 Ranch Rd, Wiley, CO 81092",Resident 1109,A-20109,"3/4""",2012-11-27,Sensus,Model-655,SN101417,positive displacement,R2,
M-1110,"870 Irrigation Ln, Wiley, CO 81092",Resident 1110,A-20110,"1""",2018-09-10,Neptune,Model-763,SN101430,positive displacement,R3,
M-1111,"877 North Frontage, Wiley, CO 81092",Resident 1111,A-20111,"1""",2014-10-11,Master Meter,Model-853,SN101443,positive displacement,R4,
M-1112,"884 South Loop, Wiley, CO 81092",Resident 1112,A-20112,"5/8""",2021-11-03,Badger,Model-390,SN101456,positive displacement,R5,
M-1113,"891 Pioneer Rd, Wiley, CO 81092",Resident 1113,A-20113,"1.5""",2017-11-18,Sensus,Model-619,SN101469,positive displacement,R6,
M-1114,"898 Cottonwood Dr, Wiley, CO 81092",Resident 1114,A-20114,"5/8""",2019-12-21,Neptune,Model-551,SN101482,positive displacement,R1,
M-1115,"905 Sand Creek Rd, Wiley, CO 81092",Resident 1115,A-20115,"1""",2013-03-08,Master Meter,Model-657,SN101495,positive displacement,R2,
M-1116,"912 Prairie View, Wiley, CO 81092",Resident 1116,A-20116,"1.5""",2018-07-16,Badger,Model-300,SN101508,positive displacement,R3,
M-1117,"919 School House Rd, Wiley, CO 81092",Resident 1117,A-20117,"3/4""",2020-01-20,Sensus,Model-562,SN101521,positive displacement,R4,
M-1118,"926 Cemetery Rd, Wiley, CO 81092",Resident 1118,A-20118,"1.5""",2016-02-20,Neptune,Model-165,SN101534,positive displacement,R5,
M-1119,"933 Grain Elevator Rd, Wiley, CO 81092",Resident 1119,A-20119,"1.5""",2023-08-20,Master Meter,Model-644,SN101547,positive displacement,R6,
M-1120,"940 Main St, Wiley, CO 81092",Resident 1120,A-20120,"1.5""",2019-09-05,Badger,Model-738,SN101560,positive displacement,R1,
M-1121,"947 County Rd 10, Wiley, CO 81092",Resident 1121,A-20121,"1.5""",2021-09-16,Sensus,Model-835,SN101573,positive displacement,R2,
M-1122,"954 County Rd 14, Wiley, CO 81092",Resident 1122,A-20122,"3/4""",2014-06-17,Neptune,Model-690,SN101586,positive displacement,R3,
M-1123,"961 Highway 287, Wiley, CO 81092",Resident 1123,A-20123,"1.5""",2015-12-02,Master Meter,Model-758,SN101599,positive displacement,R4,
M-1124,"968 Maple Ave, Wiley, CO 81092",Resident 1124,A-20124,"1""",2020-11-17,Badger,Model-100,SN101612,positive displacement,R5,
M-1125,"975 Oak St, Wiley, CO 81092",Resident 1125,A-20125,"3/4""",2018-11-21,Sensus,Model-343,SN101625,positive displacement,R6,
M-1126,"982 Elm St, Wiley, CO 81092",Resident 1126,A-20126,"5/8""",2017-12-09,Neptune,Model-130,SN101638,positive displacement,R1,
M-1127,"989 3rd Ave, Wiley, CO 81092",Resident 1127,A-20127,"1""",2022-07-13,Master Meter,Model-845,SN101651,positive displacement,R2,
M-1128,"996 5th St, Wiley, CO 81092",Resident 1128,A-20128,"1""",2021-11-15,Badger,Model-682,SN101664,positive displacement,R3,
M-1129,"1003 Ranch Rd, Wiley, CO 81092",Resident 1129,A-20129,"5/8""",2012-11-04,Sensus,Model-271,SN101677,positive displacement,R4,
M-1130,"1010 Irrigation Ln, Wiley, CO 81092",Resident 1130,A-20130,"3/4""",2016-12-11,Neptune,Model-483,SN101690,positive displacement,R5,
M-1131,"1017 North Frontage, Wiley, CO 81092",Resident 1131,A-20131,"1""",2016-03-17,Master Meter,Model-502,SN101703,positive displacement,R6,
M-1132,"1024 South Loop, Wiley, CO 81092",Resident 1132,A-20132,"1.5""",2019-04-05,Badger,Model-461,SN101716,positive displacement,R1,
M-1133,"1031 Pioneer Rd, Wiley, CO 81092",Resident 1133,A-20133,"1""",2021-03-21,Sensus,Model-352,SN101729,positive displacement,R2,
M-1134,"1038 Cottonwood Dr, Wiley, CO 81092",Resident 1134,A-20134,"3/4""",2022-11-18,Neptune,Model-857,SN101742,positive displacement,R3,
M-1135,"1045 Sand Creek Rd, Wiley, CO 81092",Resident 1135,A-20135,"1""",2021-07-27,Master Meter,Model-327,SN101755,positive displacement,R4,
M-1136,"1052 Prairie View, Wiley, CO 81092",Resident 1136,A-20136,"5/8""",2015-06-13,Badger,Model-268,SN101768,positive displacement,R5,
M-1137,"1059 School House Rd, Wiley, CO 81092",Resident 1137,A-20137,"5/8""",2016-11-22,Sensus,Model-435,SN101781,positive displacement,R6,
M-1138,"1066 Cemetery Rd, Wiley, CO 81092",Resident 1138,A-20138,"1""",2014-12-16,Neptune,Model-282,SN101794,positive displacement,R1,
M-1139,"1073 Grain Elevator Rd, Wiley, CO 81092",Resident 1139,A-20139,"1.5""",2017-03-19,Master Meter,Model-275,SN101807,positive displacement,R2,
M-1140,"1080 Main St, Wiley, CO 81092",Resident 1140,A-20140,"3/4""",2018-12-08,Badger,Model-451,SN101820,positive displacement,R3,
M-1141,"1087 County Rd 10, Wiley, CO 81092",Resident 1141,A-20141,"1""",2020-02-08,Sensus,Model-616,SN101833,positive displacement,R4,
M-1142,"1094 County Rd 14, Wiley, CO 81092",Resident 1142,A-20142,"1.5""",2013-06-12,Neptune,Model-126,SN101846,positive displacement,R5,
M-1143,"1101 Highway 287, Wiley, CO 81092",Resident 1143,A-20143,"1.5""",2022-09-09,Master Meter,Model-495,SN101859,positive displacement,R6,
M-1144,"1108 Maple Ave, Wiley, CO 81092",Resident 1144,A-20144,"1""",2020-01-20,Badger,Model-428,SN101872,positive displacement,R1,
M-1145,"1115 Oak St, Wiley, CO 81092",Resident 1145,A-20145,"1""",2019-05-08,Sensus,Model-107,SN101885,positive displacement,R2,
M-1146,"1122 Elm St, Wiley, CO 81092",Resident 1146,A-20146,"1""",2015-11-20,Neptune,Model-222,SN101898,positive displacement,R3,
M-1147,"1129 3rd Ave, Wiley, CO 81092",Resident 1147,A-20147,"5/8""",2022-02-16,Master Meter,Model-713,SN101911,positive displacement,R4,
M-1148,"1136 5th St, Wiley, CO 81092",Resident 1148,A-20148,"3/4""",2019-01-07,Badger,Model-634,SN101924,positive displacement,R5,
M-1149,"1143 Ranch Rd, Wiley, CO 81092",Resident 1149,A-20149,"1""",2023-10-08,Sensus,Model-375,SN101937,positive displacement,R6,
M-1150,"1150 Irrigation Ln, Wiley, CO 81092",Resident 1150,A-20150,"5/8""",2012-06-07,Neptune,Model-503,SN101950,positive displacement,R1,
M-1151,"1157 North Frontage, Wiley, CO 81092",Resident 1151,A-20151,"5/8""",2016-06-10,Master Meter,Model-564,SN101963,positive displacement,R2,
M-1152,"1164 South Loop, Wiley, CO 81092",Resident 1152,A-20152,"1""",2013-06-07,Badger,Model-209,SN101976,positive displacement,R3,
M-1153,"1171 Pioneer Rd, Wiley, CO 81092",Resident 1153,A-20153,"3/4""",2015-06-20,Sensus,Model-319,SN101989,positive displacement,R4,
M-1154,"1178 Cottonwood Dr, Wiley, CO 81092",Resident 1154,A-20154,"1.5""",2018-12-28,Neptune,Model-637,SN102002,positive displacement,R5,
M-1155,"1185 Sand Creek Rd, Wiley, CO 81092",Resident 1155,A-20155,"3/4""",2013-07-15,Master Meter,Model-424,SN102015,positive displacement,R6,
M-1156,"1192 Prairie View, Wiley, CO 81092",Resident 1156,A-20156,"5/8""",2012-10-09,Badger,Model-253,SN102028,positive displacement,R1,Livestock
M-1157,"1199 School House Rd, Wiley, CO 81092",Resident 1157,A-20157,"5/8""",2023-05-25,Sensus,Model-189,SN102041,positive displacement,R2,
M-1158,"1206 Cemetery Rd, Wiley, CO 81092",Resident 1158,A-20158,"1""",2012-03-15,Neptune,Model-492,SN102054,positive displacement,R3,
M-1159,"1213 Grain Elevator Rd, Wiley, CO 81092",Resident 1159,A-20159,"5/8""",2021-12-19,Master Meter,Model-636,SN102067,positive displacement,R4,
M-1160,"1220 Main St, Wiley, CO 81092",Resident 1160,A-20160,"5/8""",2019-10-24,Badger,Model-234,SN102080,positive displacement,R5,
M-1161,"1227 County Rd 10, Wiley, CO 81092",Resident 1161,A-20161,"5/8""",2019-05-12,Sensus,Model-232,SN102093,positive displacement,R6,
M-1162,"1234 County Rd 14, Wiley, CO 81092",Resident 1162,A-20162,"1""",2015-07-06,Neptune,Model-240,SN102106,positive displacement,R1,
M-1163,"1241 Highway 287, Wiley, CO 81092",Resident 1163,A-20163,"1.5""",2017-07-02,Master Meter,Model-432,SN102119,positive displacement,R2,
M-1164,"1248 Maple Ave, Wiley, CO 81092",Resident 1164,A-20164,"1.5""",2021-08-18,Badger,Model-552,SN102132,positive displacement,R3,
M-1165,"1255 Oak St, Wiley, CO 81092",Resident 1165,A-20165,"1""",2016-03-05,Sensus,Model-604,SN102145,positive displacement,R4,
M-1166,"1262 Elm St, Wiley, CO 81092",Resident 1166,A-20166,"1""",2023-09-11,Neptune,Model-858,SN102158,positive displacement,R5,
M-1167,"1269 3rd Ave, Wiley, CO 81092",Resident 1167,A-20167,"1""",2022-09-21,Master Meter,Model-447,SN102171,positive displacement,R6,
M-1168,"1276 5th St, Wiley, CO 81092",Resident 1168,A-20168,"1.5""",2023-06-26,Badger,Model-424,SN102184,positive displacement,R1,
M-1169,"1283 Ranch Rd, Wiley, CO 81092",Resident 1169,A-20169,"1""",2023-03-17,Sensus,Model-231,SN102197,positive displacement,R2,
M-1170,"1290 Irrigation Ln, Wiley, CO 81092",Resident 1170,A-20170,"5/8""",2016-02-26,Neptune,Model-809,SN102210,positive displacement,R3,
M-1171,"1297 North Frontage, Wiley, CO 81092",Resident 1171,A-20171,"1""",2018-01-05,Master Meter,Model-106,SN102223,positive displacement,R4,
M-1172,"1304 South Loop, Wiley, CO 81092",Resident 1172,A-20172,"5/8""",2012-03-26,Badger,Model-414,SN102236,positive displacement,R5,
M-1173,"1311 Pioneer Rd, Wiley, CO 81092",Resident 1173,A-20173,"3/4""",2017-10-21,Sensus,Model-337,SN102249,positive displacement,R6,
M-1174,"1318 Cottonwood Dr, Wiley, CO 81092",Resident 1174,A-20174,"3/4""",2013-03-21,Neptune,Model-218,SN102262,positive displacement,R1,
M-1175,"1325 Sand Creek Rd, Wiley, CO 81092",Resident 1175,A-20175,"1""",2017-02-07,Master Meter,Model-105,SN102275,positive displacement,R2,
M-1176,"1332 Prairie View, Wiley, CO 81092",Resident 1176,A-20176,"1""",2017-08-02,Badger,Model-634,SN102288,positive displacement,R3,
M-1177,"1339 School House Rd, Wiley, CO 81092",Resident 1177,A-20177,"1.5""",2015-09-24,Sensus,Model-286,SN102301,positive displacement,R4,
M-1178,"1346 Cemetery Rd, Wiley, CO 81092",Resident 1178,A-20178,"5/8""",2022-05-10,Neptune,Model-391,SN102314,positive displacement,R5,
M-1179,"1353 Grain Elevator Rd, Wiley, CO 81092",Resident 1179,A-20179,"1.5""",2020-07-19,Master Meter,Model-734,SN102327,positive displacement,R6,
M-1180,"1360 Main St, Wiley, CO 81092",Resident 1180,A-20180,"1.5""",2023-03-16,Badger,Model-806,SN102340,positive displacement,R1,
M-1181,"1367 County Rd 10, Wiley, CO 81092",Resident 1181,A-20181,"1.5""",2015-08-21,Sensus,Model-551,SN102353,positive displacement,R2,
M-1182,"1374 County Rd 14, Wiley, CO 81092",Resident 1182,A-20182,"1""",2023-11-14,Neptune,Model-253,SN102366,positive displacement,R3,
